text,intent,split
काठमाडौं कोलागि पराकम्प चेतावनी,aftershock_information_query,train
no powerfor two days now,power_outage_report,train
घर भत्किएर भित्र फसियौं छिटो,trapped_debris_report,train
पर्खालले थिचेकोछ हल्लन सक्दिन,trapped_debris_report,train
gaun najik k opul bhatkiyo,road_blockage_report,train
aftershock pachi ghar bhitra sutna safe cha ki now,aftershock_information_query,train
no clean water available here???,food_water_request,train
बचाउनुहोस्???,sos_help_request,train
thank you dai nex ttime feri sodhchu,goodbye_thanks,train
भर्खरै भूकम्प आयो!!,earthquake_occurring_report,train
hamro ghar najik gas leakbhayo,gas_leak_report,train
दिदी र बालबालिकाका लागि आश्रय चाहियो है,shelter_request,validation
earthquakea lert,earthquake_occurring_report,train
dhanyabad ekdum helpfulthiyo,goodbye_thanks,train
mero aama safe cha vanera status update garna mna xa,family_reunification_status,train
joke bhanna saknu huncha now,fallback_unclear,train
no power for two days now,power_outage_report,train
heey,greeting,train
Kathmandu ma power line khaseko cha pls,power_outage_report,train
waht,fallback_unclear,train
mero saaathi lai deep wound xa,injury_report,validation
wall bhatkiyo road ma now,building_collapse_report,validation
hurt my leg during eaarthquake,injury_report,train
saaf khane pani urgent chai!!!,food_water_request,train
hami kahashelter linna sakxam safely,safe_location_query,train
अर्को भूकम्प आउने छ कि,aftershock_information_query,train
can you sing a song,fallback_unclear,train
राहतशिविरमा दाजु भेटियो,family_reunification_status,train
no clean water available ehre,food_water_request,train
छोरी को बेपत्ता व्यक्ति रिपोर्ट प्लिज,family_member_missing,train
massiveshaking right now,earthquake_occurring_report,train
भूकम्पपछि के गर्ने है,status_check_general,validation
evacuation planf or Kathmandu,evacuation_guidance_query,train
hello daik cha khabar,greeting,train
bridge collapsed near Jajakot,road_blockage_report,validation
भूकम्पपछि हजुरबुबा लाई भेट्टाउन सकिएको छैन प्लिज,family_member_missing,train
mausam kasto cha,fallback_unclear,train
cannot rech Kathmandu road is closed,road_blockage_report,train
यो भूकम्पसँगसम्बन्धित छैन,fallback_unclear,train
काठमाडौं मा बिजुली गएको छ है,power_outage_report,train
reunited with my grandmother now,family_reunification_status,validation
जाजरकोट मा तोकिएको सुरक्षित क्षेत्र कहाँ छ हजुर,safe_location_query,train
what todo for a sprained ankle,first_aid_query,train
भूकम्पपछिछोरी लाई भेट्टाउन सकिएको छैन,family_member_missing,train
earthquake preparedness tips please,preparedness_tips_query,train
भवनबाट निकासा गर्ने चरणहरू,evacuation_guidance_query,train
भूकम्प तयारीका सुझावहरू दिनुहोस् हजुर,preparedness_tips_query,train
mero buwa safe cha vanera status update garna man xa,family_reunification_status,train
emergecny contact number haru ko list,emergency_contact_request,train
schoool building half bhatkiyo,building_collapse_report,validation
ललितपुर नजिकैको घरमा आगो लागेको छ हजुर,fire_incident_report,train
joke bhanna saknu hucha,fallback_unclear,train
cprkasari garne,first_aid_query,train
aftershock kati samma rahanxa asap,aftershock_information_query,train
के छत,greeting,validation
छतखसेर बुबा थुनिनुभयो,trapped_debris_report,train
पर्खालले थिचेको छ हल्लन सक्दिन,trapped_debris_report,train
ग्यास चुहियो छिटो,gas_leak_report,train
गोर्खा को लागि पराकम्प चेतावनी छिटो,aftershock_information_query,validation
छोरा भग्नावशेषमुनिथुनिनुभयो,trapped_debris_report,train
thank u somuch,goodbye_thanks,train
broken arm need help,injury_report,validation
strong gassmell xa building ma,gas_leak_report,validation
yo help,greeting,train
ललितपुर मा आगो छिट्टै फैलिँदैछ,fire_incident_report,train
घर बलिरहेको छ दमकलचाहियो,fire_incident_report,validation
our house is unsafe need shelter,shelter_request,train
fire broke out aftert he earthquake,fire_incident_report,train
अहिलेको अवस्था केहो,status_check_general,train
help ow,sos_help_request,train
the house isshaking badly,earthquake_occurring_report,train
Kathmandu ko lagi aftershock warning!!!,aftershock_information_query,train
हाम्रो घर असुरक्षित छ आश्रय चाहियो,shelter_request,train
ललितपुर नजिक पहिरोले सडक बन्द भयो हजुर,road_blockage_report,validation
bhukampa pachicrack aayo,building_damage_check,train
aftershock warning for Kathmandu,aftershock_information_query,train
बुबा लाईगम्भीर चोट लागेको छ,injury_report,train
bhukampa pachi mero mama lai bhettauna sakina urgent pls,family_member_missing,train
eathquake preparedness ko tips dinu hos,preparedness_tips_query,train
nearest open ground for evacuation,safe_location_query,train
power lines downin Bhaktapur,power_outage_report,train
hello ji sanchhai hunuhuncha,greeting,train
नमस्तेबुवा,greeting,validation
my grandfater is injured badly,injury_report,train
mero buwa unconscious bhayo pls,medical_emergency_request,train
water supply cut off need water,food_water_request,train
no electricity since the earhquake,power_outage_report,train
shelter needed for my mother and kids,shelter_request,train
building safe cha ki kaasari thaha pauney,building_damage_check,train
my grandmohter is stuck under the roof,trapped_debris_report,train
bhukampa gayo mero ghar najik ma,earthquake_occurring_report,train
searching for my granfdather in Bhaktapur,family_member_missing,train
म र दाजु थुनिएकाछौं,trapped_debris_report,train
malai thaha xaina k garne asap,status_check_general,validation
power lines down in Laliitpur,power_outage_report,train
khutta ma chot lagyo running bela,injury_report,train
mero buwa debris muni thuniyo pls,trapped_debris_report,train
o bye,goodbye_thanks,train
hamro area jana sakidaina road band cha,road_blockage_report,train
budo budi sanga kasari evacuate garne,evacuation_guidance_query,train
घरमा भूकम्प तयारीको उत्तम अभ्यास के हो प्लिज,preparedness_tips_query,validation
mero saathi lai ammbulance chai urgent,medical_emergency_request,train
पोखरा को लागि पराकम्पचेतावनी,aftershock_information_query,validation
ललितपुरमा एम्बुलेन्स चाहियो,medical_emergency_request,train
गोर्खा जान सकिँदैन सडकबन्द छ,road_blockage_report,train
आपतकालीन सम्पर्क नम्बरहरूको सूची हजुर,emergency_contact_request,train
ok bye,goodbye_thanks,validation
aago chittai failira xa hamro area ma,fire_incident_report,validation
please rescue me malai help chai,sos_help_request,train
apprecciate it,goodbye_thanks,train
आमा को लागि खाद्यान्न चाहियो,food_water_request,train
मलाई तुरुन्तै के गर्ने भनेर भन्नुहोस् हजुर,status_check_general,train
hostel najik gas leak bhayo now,gas_leak_report,train
धन्यवाद बुवा,goodbye_thanks,train
दाजुबेहोस हुनुभयो,medical_emergency_request,train
भूकम्पपछि ग्यासको गन्ध आइरहेको छ छिटो,gas_leak_report,train
भूकम्पपछि भवनको सुरक्षा जाँच कसले गर्छ,building_damage_check,train
tourist police ko number dinuhos,emergency_contact_request,train
मेरो घरमा चिरा परेको छ सुरक्षित छ कि छैन,building_damage_check,train
aago chittaifailira xa bazaar ma,fire_incident_report,train
mero aama sanga bahi reunite bhayo,family_reunification_status,train
aago chittai failira xa school najikma,fire_incident_report,train
building tlited slightly is it dangerous,building_damage_check,validation
my grandfather has been located safely,family_reunification_status,train
काठमाडौं जान सकिँदैन सडकबन्द छ,road_blockage_report,validation
दाजु लाई गहिरो घाउ छ,injury_report,train
भूकम्पपछि ग्यासको गन्ध आइरहेको छ???,gas_leak_report,train
entire uilding came down in Lalitpur,building_collapse_report,validation
mero didi lai deeep wound xa,injury_report,train
fire broke out after the earthquake,fire_incident_report,train
thank u sir ali help bhayo now,goodbye_thanks,train
म र हजुरआमा थुनिएकाछौं,trapped_debris_report,train
my grandfather is nuconscious,medical_emergency_request,train
help pls ma dheraai fright ma xu,sos_help_request,train
adf,fallback_unclear,train
शुभ प्रभात???,greeting,train
ploice emergency number dinu hos,emergency_contact_request,train
relief camp m mero bhai bhetiyo,family_reunification_status,train
2 din dekhi bijuli xaina???,power_outage_report,validation
need baby fformula and water,food_water_request,train
raati basna tentc hai,shelter_request,train
aftershock pachi ghar bhitra sutna safe cha ki help,aftershock_information_query,train
गोर्खा मा जोडदार धक्का महसुस भयो हजुर,earthquake_occurring_report,train
thanks yesto helpfu huncha,goodbye_thanks,train
hijo dekhi khana xaaina,food_water_request,train
appreciat eit,goodbye_thanks,train
what actions should i take now,status_check_general,train
गोर्खा को लागि निकासा योजना,evacuation_guidance_query,train
ghau bhayeko thau ma kasari treat garne,first_aid_query,train
how long do aftershocks cntinue,aftershock_information_query,train
fire sperading fast in Gorkha,fire_incident_report,train
is aonther earthquake coming,aftershock_information_query,train
mero didisanga abhi reunite bhayo,family_reunification_status,train
i need elp,sos_help_request,train
emergency help neeedd,sos_help_request,train
bihana dekhi mero didi bata kabar xaina,family_member_missing,train
घर भत्किएर भित्र फसियौं,trapped_debris_report,train
जाजरकोट नजिकको पुलभत्कियो,road_blockage_report,train
hi bot plz,greeting,train
hii k help gara saknu hunxa,greeting,train
aago lagyo buhkampa pachi,fire_incident_report,validation
how to regisetr a found family member,family_reunification_status,train
ललितपुर मा बिजुली गएको छ है,power_outage_report,validation
abhi ghar bhitra jana milxaa ki,building_damage_check,validation
what's your favorite food,fallback_unclear,validation
smell of gas after eaarthquake,gas_leak_report,train
bhukampa aayo help,earthquake_occurring_report,train
गोर्खामा आगो छिट्टै फैलिँदैछ,fire_incident_report,train
where is the designated safe zone in Kathmandu!!!,safe_location_query,validation
दिदी लडेरढाडमाचोट लाग्यो,injury_report,train
काठमाडौं नजिक ग्यास चुहावट भयो!!,gas_leak_report,train
हजुरबुबा लडेरढाडमा चोट लाग्यो,injury_report,train
खानेपानी चाहियो हजुर,food_water_request,train
how ol dare you,fallback_unclear,train
ghar pura bhatkiyo???,building_collapse_report,train
नजिकैको सुरक्षित ठाउँ कहाँ छ,safe_location_query,train
severe bleeding need medic,medical_emergency_request,train
earthquake in Bhaktapur,earthquake_occurring_report,train
hello,greeting,train
where is the designated safe zone in Gorkha help,safe_location_query,train
help chaincha ma darai xu,sos_help_request,train
mero saathi pinned under debris mlaai help chai,trapped_debris_report,train
bhukampa pachi mero didilai bhettauna sakina,family_member_missing,train
के हो यो,fallback_unclear,validation
who madeyou,fallback_unclear,train
मेरोभवन सुरक्षित छ कि भनेर कसरी थाहा पाउने,building_damage_check,train
my sister is trapped under debris???,trapped_debris_report,validation
mero saathi lai deep wound xa,injury_report,validation
मलाई मद्दतचाहियो,sos_help_request,train
medical emergency please help,medical_emergency_request,train
fire alert near market,fire_incident_report,train
my grandfather is unconscious,medical_emergency_request,train
is my apartment structurally safe now!!!,building_damage_check,train
thanks a lot,goodbye_thanks,validation
mero bhai laichest ma dukheko xa,medical_emergency_request,train
wall khaseko le mero didi la thichyo,trapped_debris_report,train
घर धेरै हल्लियो,earthquake_occurring_report,validation
mero didi lai badly injur ybhayo,injury_report,train
हेल्लो!!,greeting,train
Kathmanduu ma fire lagyo,fire_incident_report,validation
should i re-enter the uilding,building_damage_check,train
ok got it dhanyabad bahini,goodbye_thanks,train
seend help,sos_help_request,train
brick khasekole lagyo,injury_report,train
गोर्खा नजिकको पुलभत्कियो,road_blockage_report,train
entire building came down in Pokhara,building_collapse_report,validation
भूकम्पदेखि हजुरबुबा को फोन लाग्दैन प्लिज,family_member_missing,train
bhukampa report garna man xa hamro area ma urgent pls,earthquake_occurring_report,train
how to preprae kids for earthquake drills,preparedness_tips_query,train
छत खसेर बुबा थुनिनुभयो है,trapped_debris_report,train
want to update status that my motheris safe,family_reunification_status,validation
gas leak near Pokhaa,gas_leak_report,train
उद्धारका लागि कहाँ फोन गर्ने छिटो,emergency_contact_request,train
नजिकैको सुरक्षित भेला हुने ठाउँ!!,safe_location_query,train
what tokeep ready before an earthquake,preparedness_tips_query,train
road bloccked by landslide near Gorkha,road_blockage_report,train
धन्यवाद दाई,goodbye_thanks,validation
अर्को चरणहरू भन्नुहोस्!!,status_check_general,train
building ma fire xa school najik najik asap,fire_incident_report,train
my daughter is trapped under debris,trapped_debris_report,train
stuck undr a collapsed wall,trapped_debris_report,train
Kathmandu najik gas leak bhayo urgent pls,gas_leak_report,train
where should i go for safety,safe_location_query,train
cracks appeaared after the quake,building_damage_check,train
afteshock aaunxa ki,aftershock_information_query,train
disasterreporting hotline,emergency_contact_request,train
evacuation plan for Pokhara,evacuation_guidance_query,train
my motheris stuck under the roof,trapped_debris_report,validation
hiii pls,greeting,train
cannot reach Jajarkot roda is closed,road_blockage_report,validation
chat khasyo bhukampa ma pls,building_collapse_report,train
school building partially collapsed???,building_collapse_report,train
हजुरबुबा लाई एम्बुलेन्स चाहियो छिटो,medical_emergency_request,train
जाजरकोट मा सम्पूर्ण भवनढल्यो,building_collapse_report,train
pregnant lady ali emergency care chai,medical_emergency_request,train
जाजरकोट मा सम्पूर्ण भवन ढल्यो हजुर,building_collapse_report,train
bijuli kahile aaunxa,power_outage_report,train
aag ochittai failira xa school najik ma,fire_incident_report,train
therre is a fire in Kathmandu,fire_incident_report,train
mero buwa ko phone lagdaina bhukampa deekhi,family_member_missing,train
meroaama lai safely locate garya,family_reunification_status,validation
earthquakebhayo hamro area ma,earthquake_occurring_report,validation
mero saathi laai badly injury bhayo,injury_report,train
दिदी लाई छातीमा दुखाइ भइरहेकोछ,medical_emergency_request,train
राति बस्न पाल चाहियो,shelter_request,train
hey bot k xa halkhabar now,greeting,train
अहिले भूकम्पगयो,earthquake_occurring_report,train
mero aama safe cha vanera status update garna man xa,family_reunification_status,train
i need hlep,sos_help_request,train
पर्खालले थिचेको छ हल्लन सक्दिन है,trapped_debris_report,train
my father is injured badly???,injury_report,train
mero aama lai ambulance chai urgent,medical_emergency_request,train
road blocked by landslide near Bhhaktapur,road_blockage_report,train
meroo family member safe bhetiyo,family_reunification_status,train
my sister collapsed adn not waking up,medical_emergency_request,validation
yo bhukampa sanga related xaina,fallback_unclear,train
should we evacuate now,evacuation_guidance_query,train
भूकम्पको धक्का महसुस भयो,earthquake_occurring_report,train
frst aid kit items needed,first_aid_query,train
najikai ko apartment bhatkiyo now,building_collapse_report,train
गोर्खा मा आगो लागेको छ हजुर,fire_incident_report,train
what to do duringevacuation,evacuation_guidance_query,train
नमस्तेदाइ,greeting,train
help garnu na lpz,sos_help_request,train
rescue ko lagi kaha phone garne help,emergency_contact_request,train
mero saathi haru ra kids ko lagi shelter cchai,shelter_request,train
evacuation plan for Lalitpur urgent pls,evacuation_guidance_query,train
bhukampa pachi mero bhai lai bhettauna sakina pls,family_member_missing,train
ok gt it dhanyabad bahini,goodbye_thanks,train
thanks bro ekdam ramro jankari,goodbye_thanks,train
शुभ साँझ है,greeting,train
काठमाडौं मा घर भत्कियो,building_collapse_report,train
नजिकैको अपार्टमेन्ट भत्कियो,building_collapse_report,train
अहिले कुन चरण पालना गर्ने,status_check_general,train
frie brigade ko contact number,emergency_contact_request,validation
earthqauke alert,earthquake_occurring_report,validation
बालबालिकालाई भूकम्प अभ्यासको लागि कसरी तयार पार्ने छिटो,preparedness_tips_query,train
no food since yesterday,food_water_request,train
my grandmother has a deep wonud,injury_report,train
need food supplies for familly,food_water_request,validation
building bata bahira niskane safest tarika,evacuation_guidance_query,train
najik ko assebmly point kaha cha,safe_location_query,train
बेहोस भएको मान्छेलाई कसरी मद्दत गर्ने है,first_aid_query,validation
my motheris injured badly,injury_report,train
malai thaha xaina k gaarne,status_check_general,validation
उद्धारका लागि नजिकैको खुल्ला ठाउँ हजुर,safe_location_query,train
काठमाडौं नजिकैकोघरमा आगो लागेको छ,fire_incident_report,train
परिवार पुनर्मिलन प्रक्रियाके हो,family_reunification_status,train
ghar bhatkiyo hamro area ma pls,building_collapse_report,train
mero aama ghar aaunu bhako xaina ahile samma now,family_member_missing,train
gas leak please advise,gas_leak_report,train
electrical fire lagyo,fire_incident_report,train
give me next steps please,status_check_general,validation
is this na earthquake,earthquake_occurring_report,validation
काठमाडौं नजिककोपुल भत्कियो,road_blockage_report,train
koi avne help gara na,sos_help_request,train
बहिनीनमस्ते,greeting,train
ghar ekdam hallyo earthquake ho ki k ho,earthquake_occurring_report,train
पोखरा मा भूकम्पगयो,earthquake_occurring_report,train
सडक चिरा परेर जान सकिँदैन,road_blockage_report,train
furniture lai khasnubata kasari secure garne,preparedness_tips_query,train
schoolbuilding half bhatkiyo,building_collapse_report,validation
electricit is out across the neighborhood,power_outage_report,train
mero didi debri smuni thuniyo,trapped_debris_report,validation
hey SQAFE,greeting,validation
my sister is trapped under dberis,trapped_debris_report,validation
head injury from falling debris,injury_report,validation
घाउमापट्टी कसरी बाँध्ने,first_aid_query,train
hep,sos_help_request,train
road block bhayo landslide le gaun najik,road_blockage_report,train
need rattion for my mother,food_water_request,train
भूकम्पपछि दाजु लाई भेट्टाउन सकिएको छैन,family_member_missing,train
tourist police koo number dinu hos,emergency_contact_request,train
mero saathi haru ra kids ko lagi shelter chai,shelter_request,train
दिदी भग्नावशेषमुनि थुनिनुभयो हजुर,trapped_debris_report,train
दाजु लाई एम्बुलेन्स चाहियो छिटो???,medical_emergency_request,train
दाजु लाई सुरक्षित फेला परेको छ,family_reunification_status,train
should i expect more tremors tonight,aftershock_information_query,train
chat khasyo bhukampa ma,building_collapse_report,train
my daughter is traapped under debris,trapped_debris_report,train
buuilding tilted slightly is it dangerous,building_damage_check,validation
police emergency number dinu hhos,emergency_contact_request,train
hii k help garna saknu unxa,greeting,train
hostel najik gas leak bhayo???,gas_leak_report,train
mero saathipinned under debris malai help chai,trapped_debris_report,train
आमा को लागि खाद्यान्न चाहियो प्लिज,food_water_request,train
mero aama laai chest ma dukheko xa,medical_emergency_request,train
we just felt an earthquake in Kathmandu,earthquake_occurring_report,validation
do we need to evacuate immediately,evacuation_guidance_query,train
हजुरआमा बेहोसहुनुभयो,medical_emergency_request,train
mero bhai sanga contacttutyo,family_member_missing,train
budo budi sannga kasari evacuate garne,evacuation_guidance_query,train
thanksbro ekdam ramro jankari,goodbye_thanks,train
relief camp ma mero bhai bhetiyo,family_reunification_status,train
अहिले मैलेके गर्नुपर्छ,status_check_general,train
found my grandfather at the relief camp asap,family_reunification_status,train
help garnu na plz,sos_help_request,train
mero bbhai ghar aaunu bhako xaina ahile samma,family_member_missing,train
power outagein Bhaktapur,power_outage_report,train
धन्यवाद है साथी प्लिज,goodbye_thanks,train
छिमेकभरि बिजुली गएको छ प्लिज,power_outage_report,train
my sister hasbeen located safely,family_reunification_status,train
jhatka mahsus bayo 5 minute agadi,earthquake_occurring_report,train
bridge collapsed near Bhaktapur,road_blockage_report,train
wall ma crack dekhiyo,building_damage_check,train
mauusam kasto cha,fallback_unclear,train
namaste ma euta prashna sodhnac hahanchu,greeting,train
first aid for burns,first_aid_query,train
how old are you,fallback_unclear,train
cannot reach Bhaktapur road is closed,road_blockage_report,train
malai nikalnu hos thuniyeko xu,trapped_debris_report,train
what should i do right now,status_check_general,train
rescueko lagi kaha phone garne,emergency_contact_request,train
भूकम्पपछि आमालाई भेट्टाउन सकिएको छैन,family_member_missing,train
मेरो परिवारको सदस्य सुरक्षित भेटियो,family_reunification_status,train
विपद रिपोर्टिङ हटलाइन,emergency_contact_request,train
malai nikalnu hos thuniyeko xu pls,trapped_debris_report,train
malai kaha jana safe hunccha,safe_location_query,train
pinned uder debris,trapped_debris_report,train
सुप्रभात,greeting,train
सडकमा पर्खालभत्कियो,building_collapse_report,train
gsa leak bhayo,gas_leak_report,train
हजुरआमा को बेपत्ता व्यक्ति रिपोर्ट प्लिज,family_member_missing,train
can anyone help,sos_help_request,train
hey app!!!,greeting,train
sabai hallyo bhukampa le,earthquake_occurring_report,train
joke bhhanna saknu huncha,fallback_unclear,train
कुन खुल्ला ठाउँ भेला हुन सुरक्षित छ है,safe_location_query,train
lost contact with my brother,family_member_missing,train
building on fire near Lalitpur,fire_incident_report,validation
food distribution point najik cha ki asap,food_water_request,validation
hamro area najik ko upl bhatkiyo,road_blockage_report,train
dhanyabad ekdum helpful thiyo,goodbye_thanks,train
thanks a lotb hai,goodbye_thanks,train
mero saathi unconscious bhayo,medical_emergency_request,train
गोर्खा मा तोकिएको सुरक्षित क्षेत्र कहाँ छ,safe_location_query,train
hi bot,greeting,train
thank u sir ali help bhayo,goodbye_thanks,train
bhukampa gayo Pokhara ma,earthquake_occurring_report,train
have not heard from my brother since morning,family_member_missing,train
my father having chestpain,medical_emergency_request,train
भूकम्पपछि सडक क्षतिग्रस्त भयो,road_blockage_report,train
baby formula ra paani chai,food_water_request,train
give me next steps please???,status_check_general,validation
नमस्कारसर,greeting,train
where can we get tempoary shelter,shelter_request,train
need tents for the night,shelter_request,train
भान्सामा ग्यास धेरै चुहिँदैछ है,gas_leak_report,train
यति नै हो धन्यवाद,goodbye_thanks,train
building aliaktitilt bhayo danger cha ki,building_damage_check,train
my grandmother is unconscious,medical_emergency_request,train
Kathmandu najikk gas leak bhayo,gas_leak_report,train
काठमाडौं मा तोकिएको सुरक्षित क्षेत्र कहाँ छ,safe_location_query,validation
hey bhauju k cha,greeting,train
जाजरकोट नजिकैको घरमा आगोलागेको छ,fire_incident_report,train
my sister did not come home yet,family_member_missing,train
ओके धन्यवाद,goodbye_thanks,train
tentcamp location needed,shelter_request,train
सफाखानेपानी तुरुन्तै चाहियो,food_water_request,train
power outage in Kathmandu,power_outage_report,train
do we need to evacuate immediately now,evacuation_guidance_query,train
doctor chaixa abhi nai,medical_emergency_request,train
भूकम्पपछि हजुरबुबा लाईभेट्टाउन सकिएको छैन,family_member_missing,train
ललितपुर मा सम्पूर्ण भवन ढल्यो प्लिज,building_collapse_report,train
bye ake care,goodbye_thanks,train
mero bhai safe cha vanera status update garna manxa,family_reunification_status,train
mero bhai laiambulance chai urgent,medical_emergency_request,train
emergency kit ma k khunu parxa,preparedness_tips_query,train
mero bhai ghar aaunu bhako xaina ahile samma,family_member_missing,train
help garnuna plz,sos_help_request,train
my mother has been located safely!!!,family_reunification_status,train
भूकम्पपछि आगलागी भयो है,fire_incident_report,train
thanks for the hhelp,goodbye_thanks,train
mero family ra kids ko lagi shelter chhai,shelter_request,train
हामीलाईमद्दत चाहियो,sos_help_request,train
tanks,goodbye_thanks,train
कति पराकम्प आउने अपेक्षाछ,aftershock_information_query,train
hamro area mafire lagyo,fire_incident_report,train
my grandmother collapsed an dnot waking up,medical_emergency_request,validation
भूकम्प तयारीका सुझावहरू दिनुहोस्,preparedness_tips_query,train
shelter needed for my brother and kids pls,shelter_request,train
mero aama safe cha vanera status update garnaman xa,family_reunification_status,train
hmm,fallback_unclear,train
wall khasekole mero bhai lai thichyo,trapped_debris_report,train
medical emergecny cha help garnu,medical_emergency_request,validation
emergency supplis kati choti check garne,preparedness_tips_query,train
छोरी सँग सम्पर्क टुटेको छ,family_member_missing,validation
tarpped under rubble,trapped_debris_report,train
thanks,goodbye_thanks,validation
mero didi lai deep wound xa,injury_report,train
who made you,fallback_unclear,train
want to update status that my brother is safe,family_reunification_status,validation
घरमा भूकम्प तयारीको उत्तम अभ्यास के हो,preparedness_tips_query,validation
mausam kastocha,fallback_unclear,train
दिदी बेहोस हुनुभयो,medical_emergency_request,train
k garne vanera guide garnu hos help,status_check_general,train
whatis the ambulance number,emergency_contact_request,train
पहिरोले एकमात्र सडक बन्द भयो,road_blockage_report,train
जाजरकोट मा बिजुली गएको छ,power_outage_report,validation
भक्तपुरमा आगो छिट्टै फैलिँदैछ,fire_incident_report,validation
what is the evacuation route,evacuation_guidance_query,validation
ok bye ta dhanyabbad,goodbye_thanks,train
"namaste, ar you there",greeting,train
हजुरलाई नमस्कार,greeting,train
काठमाडौं नजिकको पुल भत्कियो,road_blockage_report,train
पराकम्पकति शक्तिशाली हुन्छ,aftershock_information_query,train
नमस्ते बहिनी!!,greeting,validation
पराकम्प कति शक्तिशाली हुन्छ छिटो,aftershock_information_query,train
bye take care,goodbye_thanks,train
my father fell and hurt back,injury_report,train
स्कूल भवन आंशिक रूपमा भत्कियो!!,building_collapse_report,train
wall khaseko le mero bai lai thichyo,trapped_debris_report,train
पोखरा मा बिजुलीको तार खसेकोछ,power_outage_report,train
दिदी कोलागि खाद्यान्न चाहियो,food_water_request,train
gas stove cause fire,fire_incident_report,train
h bhai kasto cha,greeting,train
काठमाडौं मा जोडदार धक्का महसुस भयो,earthquake_occurring_report,train
123456 pls,fallback_unclear,train
भूकम्पपछि केगर्ने,status_check_general,validation
जाजरकोट मा बिजुली गएकोछ,power_outage_report,validation
pura building dhalyo Kathmanduma,building_collapse_report,validation
mero bhai lai chest am dukheko xa,medical_emergency_request,train
there is a fire in Bhaktapur,fire_incident_report,train
अहिले मैले के गर्ने,status_check_general,train
building collapsed in Kathandu,building_collapse_report,validation
aago chittai failira xa hamro arrea ma,fire_incident_report,validation
भक्तपुर को लागि पराकम्प चेतावनी!!,aftershock_information_query,train
my grandfather is stuck under the roof,trapped_debris_report,train
म र आमा थुनिएका छौं,trapped_debris_report,train
ahile kgarnu parxa,status_check_general,train
what is the ambulance number,emergency_contact_request,train
safest wy to leave the building,evacuation_guidance_query,train
सी पीआर कसरी गर्ने,first_aid_query,train
भक्तपुर नजिकैको घरमा आगो लागेको छ,fire_incident_report,train
mainn road band cha,road_blockage_report,train
ल ठिक छ बाई,goodbye_thanks,validation
gas leak near Gorkha,gas_leak_report,validation
safe place kahacha,safe_location_query,validation
yo bhukampa sanga related xaina urgent pls,fallback_unclear,train
hostel najik gas leak bhayo,gas_leak_report,train
searching for my grandfather in Bhaktapur,family_member_missing,validation
building ma fire xa school najik najik urgent pls,fire_incident_report,train
दाजु लाई सुरक्षित फेला परेको छ???,family_reunification_status,train
जोक भन छिटो,fallback_unclear,train
mero bhai sanga ocntact tutyo,family_member_missing,train
hamro ghar unsaafe xa shelter chai,shelter_request,train
